barcode,alias,type
barcode01,426,test_sample
barcode02,427,test_sample
barcode03,428,test_sample
barcode04,429,test_sample
barcode05,430,test_sample
barcode06,431,test_sample
barcode07,432,test_sample
barcode08,433,test_sample
barcode09,434,test_sample
barcode10,435,test_sample
barcode11,436,test_sample
barcode12,437,test_sample
barcode13,438,test_sample
barcode14,439,test_sample
barcode15,440,test_sample
