task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
64	b9/886e64	60337	kraken_pipeline:run_bracken (124)	COMPLETED	0	2024-05-24 15:23:08.500	16.7s	16.2s	120.9%	698.8 MB	1.4 GB	512.3 MB	26.7 MB
66	0e/95a240	60421	kraken_pipeline:run_bracken (126)	COMPLETED	0	2024-05-24 15:23:21.964	15.3s	14.8s	114.2%	774 MB	1.5 GB	512.4 MB	26.8 MB
68	ca/d04ded	60500	kraken_pipeline:run_bracken (259)	COMPLETED	0	2024-05-24 15:23:25.209	15.5s	15s	115.0%	719.1 MB	1.4 GB	512.3 MB	26.7 MB
67	15/1631ad	60464	kraken_pipeline:run_bracken (307)	COMPLETED	0	2024-05-24 15:23:25.155	15.8s	15.4s	114.7%	454.5 MB	1.1 GB	512.4 MB	26.8 MB
72	a9/ea48a5	60589	kraken_pipeline:output_kraken2_read_assignments (47)	COMPLETED	0	2024-05-24 15:23:40.668	2.4s	2s	193.7%	467.4 MB	1.1 GB	433.4 MB	107.5 KB
70	d9/41a1ae	60590	kraken_pipeline:output_kraken2_read_assignments (334)	COMPLETED	0	2024-05-24 15:23:40.670	2.4s	1.9s	194.5%	513.5 MB	1.1 GB	433.7 MB	752.4 KB
73	c5/666e29	60653	kraken_pipeline:output_kraken2_read_assignments (192)	COMPLETED	0	2024-05-24 15:23:40.952	2.3s	1.9s	200.7%	496.4 MB	1.1 GB	433.7 MB	748.7 KB
74	0c/66cf94	60716	kraken_pipeline:output_kraken2_read_assignments (124)	COMPLETED	0	2024-05-24 15:23:43.097	2.4s	1.9s	194.0%	496.6 MB	1.1 GB	433.9 MB	1.1 MB
76	0e/499774	60691	kraken_pipeline:output_kraken2_read_assignments (126)	COMPLETED	0	2024-05-24 15:23:43.060	2.5s	2s	194.0%	473.1 MB	1.1 GB	434.8 MB	3 MB
71	c1/60e510	60755	kraken_pipeline:output_kraken2_read_assignments (83)	COMPLETED	0	2024-05-24 15:23:43.290	2.3s	1.8s	190.8%	512.3 MB	1.1 GB	433.8 MB	983.5 KB
78	14/bdc3fe	60856	kraken_pipeline:output_kraken2_read_assignments (259)	COMPLETED	0	2024-05-24 15:23:45.631	2.4s	2s	191.3%	511.4 MB	1.1 GB	434.3 MB	1.9 MB
75	f5/0ea53f	60827	kraken_pipeline:output_kraken2_read_assignments (180)	COMPLETED	0	2024-05-24 15:23:45.589	2.5s	2s	185.8%	487.1 MB	1.1 GB	433.7 MB	792.4 KB
77	14/33736d	60791	kraken_pipeline:output_kraken2_read_assignments (307)	COMPLETED	0	2024-05-24 15:23:45.496	2.7s	2.2s	189.4%	878.8 MB	1.5 GB	436.2 MB	5.7 MB
80	04/7e6598	60920	kraken_pipeline:output_results (3)	COMPLETED	0	2024-05-24 15:23:48.104	592ms	3ms	0.0%	0	0	32.7 KB	193 B
