barcode,alias,type
barcode01,411,test_sample
barcode02,412,test_sample
barcode03,413,test_sample
barcode04,414,test_sample
barcode05,415,test_sample
barcode06,416,test_sample
barcode07,417,test_sample
barcode08,418,test_sample
barcode09,419,test_sample
barcode10,420,test_sample
barcode11,421,test_sample
barcode12,422,test_sample
barcode13,423,test_sample
barcode14,424,test_sample
barcode15,425,test_sample
