tax	1	10	11	12	13	14	15	16	17	18	19	2	20	3	4	5	6	7	8	9	total
Bacteria;Bacteria_none;Bacillota;Bacilli;Bacillales;Staphylococcaceae;Macrococcus;Macrococcus brunensis	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Vibrionales;Vibrionaceae;Vibrio;Vibrio anguillarum	1	0	0	0	0	0	0	1	3	0	0	1	0	0	2	0	0	0	0	0	8
Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Limosilactobacillus;Limosilactobacillus panis	0	5	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	7
Eukaryota;Eukaryota_Incertae_sedis;Apicomplexa;Aconoidasida;Haemosporida;Plasmodiidae;Plasmodium;Plasmodium malariae	0	6	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	7
Bacteria;Bacteria_none;Cyanobacteriota;Cyanophyceae;Nostocales;Calotrichaceae;Calothrix;Calothrix brevissima	0	6	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	7
Bacteria;Bacteria_none;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;Corynebacterium amycolatum	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
Eukaryota;Fungi;Basidiomycota;Pucciniomycetes;Pucciniales;Pucciniaceae;Puccinia;Puccinia striiformis	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	6
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Aeromonadales;Aeromonadaceae;Dongshaea;Dongshaea marina	0	0	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	5
Bacteria;Bacteria_none;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;Corynebacterium sanguinis	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	5
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Moraxellales;Moraxellaceae;Moraxella;Moraxella osloensis	1	1	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	5
