barcode,alias,type
barcode01,47,test_sample
barcode02,83,test_sample
barcode03,124,test_sample
barcode04,126,test_sample
barcode05,180,test_sample
barcode06,192,test_sample
barcode07,259,test_sample
barcode08,307,test_sample
barcode09,334,test_sample
barcode10,424,test_sample
