task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
42	21/d61d1d	54999	kraken_pipeline:run_bracken (417)	COMPLETED	0	2025-07-02 08:30:19.556	15.2s	12.8s	112.4%	680.2 MB	2.1 GB	449.9 MB	8.9 MB
41	78/d7f34e	54971	kraken_pipeline:run_bracken (418)	COMPLETED	0	2025-07-02 08:30:19.420	15.3s	12.8s	94.8%	709 MB	2.1 GB	445.4 MB	8.8 MB
44	c3/5f81d1	55087	kraken_pipeline:run_bracken (421)	COMPLETED	0	2025-07-02 08:30:34.775	13.5s	12s	86.7%	740.3 MB	2.1 GB	445.4 MB	8.8 MB
43	0f/9d6bd1	55082	kraken_pipeline:run_bracken (420)	COMPLETED	0	2025-07-02 08:30:34.716	13.7s	12s	112.6%	769.4 MB	2.1 GB	449.9 MB	8.9 MB
33	b6/1e3b07	54512	kraken_pipeline:run_kraken2 (419)	COMPLETED	0	2025-07-02 08:28:43.733	2m 9s	2m 8s	7.0%	5.5 GB	7.9 GB	26.5 MB	295.8 KB
37	b9/23c121	54784	kraken_pipeline:run_kraken2 (425)	COMPLETED	0	2025-07-02 08:29:54.597	1m 1s	1m	9.0%	3.7 GB	7.9 GB	25.6 MB	3.5 MB
46	93/7199b8	55189	kraken_pipeline:run_bracken (422)	COMPLETED	0	2025-07-02 08:30:48.373	13.5s	12.1s	138.5%	747.7 MB	2.1 GB	449.9 MB	8.9 MB
45	9d/00cdba	55174	kraken_pipeline:run_bracken (416)	COMPLETED	0	2025-07-02 08:30:48.309	14.3s	12.7s	150.6%	661.8 MB	2.1 GB	449.9 MB	8.9 MB
47	21/6a230f	55260	kraken_pipeline:run_bracken (423)	COMPLETED	0	2025-07-02 08:30:52.961	12.4s	11.2s	157.2%	780.1 MB	2.1 GB	449.9 MB	8.9 MB
48	bb/4b9fa1	55305	kraken_pipeline:run_bracken (424)	COMPLETED	0	2025-07-02 08:30:56.002	13.7s	12s	152.0%	751.1 MB	2.1 GB	449.9 MB	8.9 MB
50	87/e02e0a	55395	kraken_pipeline:run_bracken (414)	COMPLETED	0	2025-07-02 08:31:02.593	13.3s	11.8s	159.7%	777.6 MB	2.1 GB	449.9 MB	8.9 MB
49	98/657a53	55357	kraken_pipeline:run_bracken (413)	COMPLETED	0	2025-07-02 08:31:01.841	14.7s	13.3s	159.4%	604.4 MB	2.1 GB	449.9 MB	8.9 MB
51	c4/dbcf0f	55441	kraken_pipeline:run_bracken (419)	COMPLETED	0	2025-07-02 08:31:05.413	12.2s	11s	153.1%	752.9 MB	2.1 GB	450 MB	8.9 MB
52	7f/8ae02a	55487	kraken_pipeline:run_bracken (425)	COMPLETED	0	2025-07-02 08:31:09.711	11.2s	9.9s	160.4%	770.2 MB	2.1 GB	449.9 MB	8.9 MB
40	4b/4bed31	54910	kraken_pipeline:run_kraken2 (411)	COMPLETED	0	2025-07-02 08:30:07.718	24m 38s	24m 37s	16.9%	4.4 GB	7.8 GB	455.9 MB	4.4 MB
53	6e/a19d5e	59539	kraken_pipeline:run_bracken (411)	COMPLETED	0	2025-07-02 08:54:45.592	9.2s	8s	177.6%	723.1 MB	2.1 GB	450.4 MB	9.3 MB
54	35/f1c4cf	59605	kraken_pipeline:createAbundanceTables	COMPLETED	0	2025-07-02 08:54:54.812	3.1s	2s	187.5%	51.3 MB	2.1 GB	11.4 MB	9 MB
55	1a/e0c078	59695	kraken_pipeline:output_results (3)	COMPLETED	0	2025-07-02 08:54:57.878	886ms	5ms	160.0%	0	0	55.8 KB	198 B
56	9c/84ff96	59712	kraken_pipeline:makeReport (1)	COMPLETED	0	2025-07-02 08:54:57.927	31.8s	30.5s	100.9%	416.8 MB	2.4 GB	55.2 MB	33.3 MB
57	8f/72548a	59916	kraken_pipeline:output_results (4)	COMPLETED	0	2025-07-02 08:55:29.759	799ms	6ms	133.3%	0	0	55.8 KB	198 B
